borrower_id,book_title,genre,loan_date,loan_period_days,extension_days,returned
P001,The Clockwork Orchard,Fantasy,2025-01-01,14,0,Yes
P002,Maps of Moonlight,Crime,2025-01-04,21,3,Yes
P003,The Quiet Algorithm,Nonfiction,2025-01-09,14,0,No
P004,Paper Moons at Noon,Fiction,2025-01-14,7,1,Yes
P005,The Clockwork Orchard,Fantasy,2025-01-20,14,0,Yes
P006,Maps of Moonlight,Crime,2025-01-26,14,2,No
P007,Signals from Cedar Hill,Nonfiction,2025-02-02,28,0,Yes
P008,Paper Moons at Noon,Fiction,2025-02-08,14,0,Yes
P009,The Clockwork Orchard,Fantasy,2025-02-15,21,4,Yes
P010,The Quiet Algorithm,Nonfiction,2025-02-21,14,0,No
P011,Maps of Moonlight,Crime,2025-03-01,7,0,Yes
P012,The Clockwork Orchard,Fantasy,2025-03-07,14,1,Yes
P013,Signals from Cedar Hill,Nonfiction,2025-03-14,14,0,Yes
P014,Paper Moons at Noon,Fiction,2025-03-21,21,2,No
P015,Maps of Moonlight,Crime,2025-03-28,14,0,Yes
P016,The Clockwork Orchard,Fantasy,2025-04-04,14,0,Yes
P017,The Quiet Algorithm,Nonfiction,2025-04-11,28,3,Yes
P018,Signals from Cedar Hill,Nonfiction,2025-04-18,14,0,No
P019,Maps of Moonlight,Crime,2025-04-25,7,0,Yes
P020,The Clockwork Orchard,Fantasy,2025-05-02,14,0,Yes
P021,Maps of Moonlight,Crime,2025-05-09,21,abc,Yes
P022,,Crime,2025-05-16,14,0,Yes
P023,The Quiet Algorithm,Nonfiction,2025-05-23,14,-2,No
P024,Signals from Cedar Hill,Nonfiction,2025-05-30,14,1,Yes
